day_type,direction,seg_idx,segmentId,streetName,frc,speedLimit,seg_distance,cum_dist_start,cum_dist_mid,cum_dist_end,hour,harm_avg_speed,avg_speed,median_speed,std_speed,avg_tt,median_tt,std_tt,tt_ratio,sample_size,norm_sample,p5,p15,p25,p50,p75,p85,p90,p95
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,0,31.3,40.2,40.0,15.3,1.72,1.35,1.38,1.0,737,0.0729,14,25,31,40,50,55,59,66
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,1,34.9,42.3,41.0,16.0,1.55,1.32,0.93,0.9,437,0.0432,17,27,32,41,52,59,64,69
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,2,34.0,40.7,40.0,14.8,1.59,1.35,0.89,0.92,197,0.0195,17,25,30,40,50,57,61,67
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,3,34.3,43.9,42.0,16.7,1.57,1.28,1.34,0.91,122,0.0121,18,29,33,42,56,61,64,69
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,4,37.1,41.8,42.0,13.4,1.45,1.28,0.58,0.84,224,0.0221,22,28,31,42,49,55,60,65
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,5,27.6,37.9,38.0,15.9,1.95,1.42,1.95,1.13,922,0.0911,12,21,26,38,49,54,57,64
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,6,17.4,30.6,31.0,13.8,3.11,1.74,5.48,1.8,2658,0.2628,7,16,21,31,40,45,48,52
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,7,10.2,23.0,23.0,12.4,5.3,2.34,9.23,3.07,7221,0.7138,2,10,14,23,32,36,39,44
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,8,9.5,20.5,20.0,11.4,5.68,2.7,9.19,3.29,8075,0.7982,2,8,12,20,28,32,35,40
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,9,10.3,22.2,22.0,11.9,5.26,2.45,8.81,3.05,6993,0.6913,2,9,14,22,30,35,38,42
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,10,11.5,24.2,24.0,12.6,4.71,2.25,8.14,2.73,5795,0.5729,3,10,16,24,33,37,40,45
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,11,12.0,24.9,25.0,12.9,4.5,2.16,7.88,2.61,5268,0.5208,3,10,16,25,33,38,41,46
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,12,11.7,24.9,25.0,13.3,4.62,2.16,7.95,2.68,4922,0.4866,3,10,16,25,34,39,42,47
Feriali,Centro,0,-13800007198127,Corso di Francia,2,50,14.98,0.0,7.49,14.98,13,13.2,25.7,26.0,13.1,4.09,2.07,6.97,2.37,5177,0.5118,4,11,16,26,35,40,43,47
