carriage,direction,day_type,seg_idx,segmentId,streetName,frc,speedLimit,seg_distance,cum_dist_start,cum_dist_mid,cum_dist_end,hour,harm_avg_speed,avg_speed,median_speed,std_speed,avg_tt,median_tt,std_tt,tt_ratio,sample_size,norm_sample,p5,p15,p25,p50,p75,p85,p90,p95
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,0,62.1,68.5,68.0,19.2,3.02,2.76,1.18,1.0,2191,0.2587,38,49,56,68,80,87,92,101
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,1,71.3,75.8,74.6,18.0,2.63,2.51,0.71,0.87,927,0.1095,49,58,64,75,87,92,97,107
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,2,71.7,77.5,75.3,19.4,2.62,2.49,1.09,0.87,503,0.0594,46,60,66,75,90,97,101,112
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,3,71.6,76.6,75.6,18.9,2.62,2.48,0.78,0.87,334,0.0394,48,60,65,76,88,96,100,109
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,4,66.6,76.8,77.6,19.4,2.82,2.42,2.75,0.93,385,0.0455,44,60,68,78,87,94,100,107
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,5,75.2,80.7,80.6,18.4,2.49,2.33,0.89,0.83,428,0.0505,52,63,70,81,92,99,104,110
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,6,71.2,75.7,76.8,16.9,2.63,2.44,0.79,0.87,1425,0.1683,47,59,65,77,87,92,95,102
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,7,63.5,67.3,67.3,14.3,2.95,2.79,0.95,0.98,4577,0.5405,44,53,58,67,77,82,85,91
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,8,57.8,62.4,62.2,14.6,3.24,3.01,1.45,1.07,6613,0.7809,39,48,53,62,72,77,80,86
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,9,60.4,64.5,64.2,14.6,3.11,2.92,1.06,1.03,5746,0.6786,42,50,55,64,74,79,83,88
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,10,61.7,65.5,65.5,14.6,3.04,2.86,0.93,1.01,5456,0.6443,42,51,56,66,75,80,83,89
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,11,58.4,63.0,63.2,15.1,3.21,2.97,1.26,1.06,5747,0.6787,39,48,53,63,73,78,81,87
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,12,57.0,61.7,61.5,15.4,3.29,3.05,1.19,1.09,6315,0.7457,37,47,52,62,72,77,81,87
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,13,51.4,58.0,58.3,16.4,3.65,3.22,1.82,1.21,7413,0.8754,29,42,48,58,69,74,78,84
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,14,49.1,56.0,56.5,16.5,3.82,3.32,2.09,1.26,7863,0.9286,27,40,46,57,67,72,76,82
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,15,47.0,55.6,55.8,16.2,3.99,3.36,3.91,1.32,7380,0.8715,27,41,46,56,66,71,75,81
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,16,37.5,51.3,52.2,17.3,5.0,3.59,9.16,1.66,6979,0.8242,20,34,41,52,63,68,72,78
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,17,28.1,45.6,47.2,18.9,6.68,3.97,12.27,2.21,6719,0.7935,10,24,34,47,58,65,69,74
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,18,24.1,39.5,41.2,18.6,7.77,4.55,10.92,2.57,7001,0.8268,8,17,25,41,53,58,62,68
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,19,28.4,42.7,44.3,19.0,6.6,4.23,7.82,2.19,6960,0.8219,10,20,29,44,56,63,67,72
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,20,42.0,56.6,57.4,17.7,4.47,3.27,7.0,1.48,6349,0.7498,22,42,47,57,68,74,77,83
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,21,59.9,68.0,68.0,17.5,3.13,2.76,2.36,1.04,3562,0.4206,41,52,57,68,79,85,89,95
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,22,64.3,68.9,68.0,16.6,2.92,2.76,1.12,0.97,2990,0.3531,45,53,58,68,79,85,90,96
Centrale,Ostia,Inv. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,23,62.5,67.6,66.9,17.1,3.0,2.8,1.1,0.99,3091,0.365,41,51,57,67,78,85,89,96
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,0,66.0,70.5,69.0,17.2,2.84,2.72,0.96,1.0,3260,0.385,46,54,59,69,80,86,91,101
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,1,70.3,75.4,74.0,18.3,2.67,2.53,1.24,0.94,1872,0.2211,48,57,64,74,86,94,99,107
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,2,75.5,80.3,79.0,18.6,2.48,2.37,0.76,0.87,1001,0.1182,53,63,68,79,91,99,104,112
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,3,76.1,81.4,81.0,19.8,2.47,2.32,0.74,0.87,667,0.0788,50,62,69,81,93,99,105,117
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,4,75.9,81.1,79.0,20.8,2.47,2.37,0.68,0.87,460,0.0543,47,62,69,79,91,100,108,118
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,5,76.7,83.7,82.0,22.1,2.44,2.29,0.92,0.86,492,0.0581,49,63,71,82,98,105,112,123
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,6,76.8,81.8,82.0,18.5,2.44,2.29,0.77,0.86,1492,0.1762,51,64,70,82,93,100,104,111
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,7,67.9,72.0,72.0,15.5,2.76,2.6,0.89,0.97,4116,0.4861,48,56,62,72,82,87,91,96
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,8,58.2,64.9,65.0,16.3,3.22,2.88,1.92,1.14,5506,0.6502,36,51,56,65,75,80,83,89
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,9,56.3,63.9,65.0,16.6,3.33,2.88,2.06,1.17,5470,0.646,36,50,55,65,75,79,83,89
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,10,59.0,63.5,63.0,15.2,3.18,2.98,1.24,1.12,5825,0.6879,40,49,54,63,73,78,82,88
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,11,55.3,61.4,62.0,16.0,3.39,3.02,1.9,1.19,5904,0.6972,35,47,52,62,71,77,80,87
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,12,58.3,62.6,62.0,15.4,3.22,3.02,1.08,1.13,5800,0.6849,39,48,52,62,72,78,82,88
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,13,53.0,59.9,60.0,16.8,3.54,3.13,2.09,1.25,5966,0.7045,30,44,50,60,71,76,80,86
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,14,51.0,58.4,59.0,17.0,3.68,3.18,2.18,1.3,6018,0.7107,27,42,48,59,70,75,78,84
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,15,52.6,58.9,59.0,16.0,3.56,3.18,1.75,1.25,6258,0.739,30,44,49,59,69,75,78,84
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,16,47.4,54.9,56.0,17.0,3.96,3.35,2.2,1.39,6797,0.8027,24,38,45,56,66,72,75,81
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,17,45.0,53.4,54.0,17.1,4.17,3.47,2.7,1.47,7170,0.8467,22,36,43,54,65,70,74,80
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,18,43.7,50.5,51.0,16.2,4.29,3.68,2.22,1.51,8213,0.9699,22,34,40,51,61,66,70,77
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,19,50.7,56.1,56.0,15.3,3.7,3.35,1.71,1.3,8279,0.9777,31,41,46,56,66,71,75,81
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,20,55.9,60.1,59.0,14.9,3.35,3.18,1.15,1.18,6803,0.8034,37,45,50,59,70,75,79,85
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,21,63.1,67.3,66.0,15.6,2.97,2.84,1.07,1.05,4043,0.4774,44,52,56,66,78,83,87,92
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,22,63.9,68.1,67.0,16.4,2.94,2.8,0.97,1.03,3401,0.4016,44,52,57,67,77,83,88,97
Centrale,Ostia,Est. Feriale,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,23,62.6,66.6,65.0,16.2,3.0,2.88,0.92,1.06,4079,0.4817,44,51,55,65,76,83,87,95
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,0,62.8,66.4,65.0,15.9,2.99,2.88,0.75,1.0,1478,0.1745,45,50,55,65,75,81,87,94
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,1,66.2,71.0,70.0,16.1,2.83,2.68,1.42,0.95,1026,0.1212,47,55,60,70,81,87,90,98
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,2,69.8,74.4,73.0,18.9,2.69,2.57,0.72,0.9,783,0.0925,47,57,62,73,84,90,96,110
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,3,71.1,75.9,74.0,17.6,2.64,2.53,1.15,0.88,792,0.0935,51,59,64,74,85,92,98,109
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,4,74.1,78.4,78.0,18.2,2.53,2.4,0.66,0.85,533,0.0629,51,61,65,78,88,95,101,108
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,5,76.6,82.1,82.0,19.6,2.45,2.29,0.84,0.82,291,0.0344,50,62,69,82,95,101,105,117
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,6,75.9,81.4,82.0,18.1,2.47,2.29,0.89,0.83,381,0.045,50,65,71,82,94,99,103,108
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,7,71.5,75.1,75.0,15.2,2.62,2.5,0.68,0.88,830,0.098,51,60,65,75,85,90,94,100
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,8,66.9,70.1,70.0,14.3,2.8,2.68,0.69,0.94,1322,0.1561,49,55,60,70,80,85,88,94
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,9,61.3,66.0,66.0,14.5,3.06,2.84,1.53,1.02,1948,0.23,44,53,57,66,75,80,83,89
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,10,59.1,63.3,63.0,14.6,3.17,2.98,1.37,1.06,2224,0.2626,41,50,54,63,72,77,81,87
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,11,59.5,63.7,63.0,15.0,3.15,2.98,1.23,1.05,2097,0.2476,41,49,54,63,73,78,82,88
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,12,59.7,64.9,65.0,15.4,3.14,2.88,1.92,1.05,1978,0.2336,41,50,54,65,75,80,84,89
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,13,63.2,66.9,66.0,14.7,2.97,2.84,0.84,0.99,1584,0.1871,44,52,57,66,77,83,86,91
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,14,64.4,69.0,68.0,14.9,2.91,2.76,2.0,0.97,1513,0.1787,46,54,59,68,78,84,87,94
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,15,64.2,67.7,67.0,14.6,2.92,2.8,0.77,0.98,1577,0.1862,45,53,58,67,76,82,86,91
Centrale,Ostia,Est. Festivo,0,-13800006770913,Via Cristoforo Colombo,2,50,52.09,0.0,26.045,52.09,16,65.0,68.5,68.0,14.5,2.89,2.76,0.83,0.97,1593,0.1881,46,54,59,68,78,83,87,91
